Restaurant Name,Address,Average Yelp Review,#Pass Inspection,#Conditional Inspection,#Failed Inspection
Harry's Hot Dogs,"Harry's Hot Dogs - CLOSED - The Loop - Chicago, IL",4,0,0,0
Terzo Piano,"Terzo Piano - The Loop - Chicago, IL",3,0,0,0
Delmonico,"Delmonico - The Loop - Chicago, IL",4,11,4,4
Roti Mediterranean Grill,"Roti Mediterranean Grill - The Loop - Chicago, IL",4,31,4,4
Chipotle Mexican Grill,"Chipotle Mexican Grill - The Loop - Chicago, IL",4,73,20,12
Mei's Kitchen,"Mei's Kitchen - South Loop - Chicago, IL",3,0,0,0
Au Bon Pain,"Au Bon Pain - The Loop - Chicago, IL",3,80,14,12
Corner Bakery Cafe,"Corner Bakery Cafe - Near Southside - Chicago, IL",3,118,23,19
Cajun Grill At Union Station,"Cajun Grill At Union Station - Near West Side - Chicago, IL",2,0,0,0
IPO,"IPO - The Loop - Chicago, IL",4,0,0,0
A' Cappella Bistro,"A' Cappella Bistro - Near Southside - Chicago, IL",2,0,0,0
Tesori,"Tesori - The Loop - Chicago, IL",4,16,3,4
Sopraffina,"Sopraffina - The Loop - Chicago, IL",4,14,0,1
Hackney's Printers' Row,"Hackney's Printers' Row - Printer's Row - Chicago, IL",4,10,1,1
Off-Track Betting-Otb,"Off-Track Betting-Otb - The Loop - Chicago, IL",5,0,0,0
Patty Burger,"Patty Burger - CLOSED - The Loop - Chicago, IL",3,1,1,0
Custom House Tavern,"Custom House Tavern - Printer's Row - Chicago, IL",4,3,0,3
Au Bon Pain,"Au Bon Pain - Chicago, IL",3,80,14,12
Spa Cafe,"Spa Cafe - CLOSED - The Loop - Chicago, IL",4,0,0,0
The Grille on State,"The Grille on State - CLOSED - South Loop - Chicago, IL",2,0,0,0
BomBon 4,"BomBon 4 - CLOSED - The Loop - Chicago, IL",5,0,0,0
Au Bon Pain,"Au Bon Pain - Near West Side - Chicago, IL",3,80,14,12
Encore Liquid Lounge,"Encore Liquid Lounge - The Loop - Chicago, IL",4,0,0,0
Harold's Chicken Shack No 77,"Harold's Chicken Shack No 77 - CLOSED - The Loop - Chicago, IL",3,5,1,2
Cafecito,"Cafecito - South Loop - Chicago, IL",5,18,2,3
Chicago Windy House,"Chicago Windy House - Near West Side - Chicago, IL",4,0,0,0
Giordano's Pizzeria,"Giordano's Pizzeria - The Loop - Chicago, IL",3,0,0,0
Roti Mediterranean Grill,"Roti Mediterranean Grill - The Loop - Chicago, IL",4,31,4,4
Around the Corner,"Around the Corner - CLOSED - The Loop - Chicago, IL",5,0,0,0
Protein Bar,"Protein Bar - The Loop - Chicago, IL",4,46,8,6
Roti Mediterranean Grill,"Roti Mediterranean Grill - The Loop - Chicago, IL",4,31,4,4
Corner Bakery Cafe,"Corner Bakery Cafe - The Loop - Chicago, IL",3,118,23,19
Lockwood,"Lockwood - The Loop - Chicago, IL",4,8,2,2
10 & 30 Sundry,"10 & 30 Sundry - The Loop - Chicago, IL",3,0,0,0
M Burger,"M Burger - The Loop - Chicago, IL",3,10,0,1
Au Bon Pain Company,"Au Bon Pain Company - Chicago, IL",3,80,14,12
Corner Bakery Cafe,"Corner Bakery Cafe - The Loop - Chicago, IL",4,118,23,19
Falafill,"Falafill - The Loop - Chicago, IL",5,4,2,1
Protein Bar,"Protein Bar - The Loop - Chicago, IL",4,46,8,6
Halsted Street Deli,"Halsted Street Deli - The Loop - Chicago, IL",3,44,11,12
Mezza Grilled Wraps and Pitas,"Mezza Grilled Wraps and Pitas - The Loop - Chicago, IL",4,19,6,5
MySpa Chicago,"MySpa Chicago - The Loop - Chicago, IL",4,0,0,0
Potbelly's,"Potbelly's - The Loop - Chicago, IL",4,0,0,0
Nicola's Pizzeria,"Nicola's Pizzeria - CLOSED - The Loop - Chicago, IL",4,1,0,0
Tokyo Lunch Boxes & Catering,"Tokyo Lunch Boxes & Catering - The Loop - Chicago, IL",3,44,11,6
